UserName,VoteUp,Thanked
amplex,3790,796
liao-yu-lei,464,53
kennethtse,148448,18609
camsong,924,26
ye-huang-7-35,598,131
maxzhang,310,93
bai-ru-bing-58,344280,50191
wang-jian-88-32,126,9
yandeng,130764,25986
zhang-ji-zhua,9142,2627
li-yi-69,1577,319
rio,42842,8997
yu-yu-yu-85-30,117,24
warmwine,365912,71862
,3113,407
tan-bo-wen-41,1225,266
chen-zheng-qian-60,106,39
su-zi-xiong-60,173,27
,177,51
yang-wang-23-66,443,110
xu-cheng-yang,1019,180
baozii,3352,551
,406,193
,125,34
flfanling,5662,298
jswh,302,65
archerzz,10389,2243
,377,75
liu-jin-wei,480,139
codefalling,899,44
vczero,295,45
diamondtin,1536,653
xuxun,260,69
djyde,3836,570
durow,1066,289
,17613,3306
