ans_id,ans_voteup,ans_thanks,ans_collection,ans_comment,que_id,que_activities,author_id,author_collected,author_follower,author_following,author_thanked,author_voteup,author_activities
151494935,75,22,53,14,57052990,40,15553e92575d2b04da165888e5f8e075,38366,65936,50,15736,74436,43
104569022,75,30,27,18,47045674,19,85d9479f0214b85b4b4536e7a298989d,10046,14682,0,7449,36590,21
159047780,75,10,28,17,58778536,81,eef16ca7df4d4cb380f5f6ae41eefe84,20344,13400,1184,6076,31748,35
142220312,74,25,34,23,54857314,10,6342fb1aa704c852d18ba3eae1ac39d7,116,157,29,43,127,8
141893848,71,14,8,11,54680196,22,023168605414b37bb83aa96a5bc05205,38130,69520,105,7386,24191,15
108890237,69,13,7,20,48038437,57,c29316da242ba2c3219181b827b8c627,156,160,12,77,300,0
108045072,67,6,3,5,47741800,24,a9ed30c18fc7ca30cdaa3fcd792320d0,60,290,0,46,296,0
135945839,63,15,11,4,53613635,12,246e6cf44e94cefbf4b959cb5042bc91,4800,155187,673,1681,21029,80
132473558,63,8,0,10,52878619,11,0970f947b898ecc0ec035f9126dd4e08,223872,559791,2171,162815,1256772,1819
130933098,61,12,21,157,52531244,37,be9697fef98dbffb859d898f74ce8ee7,183,55,243,168,709,17
126834336,60,19,94,8,26342064,12,26d0f807249e19acfc712527b3c136ba,156,115,35,28,93,1
146780106,60,2,14,11,55576523,13,4cc7002ae7bf956a79dab4752645670e,194,224,81,9,357,43
122796284,54,12,1,23,50806552,76,c67d30567c1ebd6c36ca4352d2c716df,57369,41003,0,35795,191524,5
34275809,53,18,17,13,26851944,50,096f33c847536b508eff8f60e4434441,4049,3818,111,2923,15187,0
141361131,53,14,50,2,54647152,13,15553e92575d2b04da165888e5f8e075,38366,65936,50,15737,74436,43
166523057,52,12,54,13,59475884,10,93a3349c05e56044e7657ceda8718cf2,12687,11553,102,5636,20663,15
69484963,47,4,0,17,36890053,57,d4646641fa6b125bf2fe893e874203af,99,82,68,193,1744,28
148703608,47,8,0,34,56169136,44,2fcc0e6450de0eb20e0a0e57595a195e,14,11,8,44,267,0
39751292,44,35,43,22,23418797,54,5d36173c7a261ac80e3cee2f4f78b0ac,326,100,638,145,651,10
108820862,43,6,0,21,48034036,23,d6f6514b932ffe30f97e50dd578c8a2c,9160,9627,1,15371,90345,63
141534843,43,12,16,18,54854263,23,58579b5cf5724d6e821c955ba290c880,13622,11015,2,5489,19235,7
141791467,44,14,64,1,51788678,23,8baab2164ff8bca575996e1fcc55e1a9,8805,7051,14,406,4829,21
77017351,42,20,3,19,38570005,19,a7d6c2dc47e3420d4b7c34dd2d324908,7,97,0,22,47,0
146349439,67,13,1,41,55753169,169,c8e316b8e3ca6b24ed8a3f11ec6a8bda,24818,6982,1196,12954,79564,507
141589002,43,11,81,9,51788678,23,681dc665121a599a4dca5a2e34b3ef7a,2128,775,128,916,4545,106
117644973,41,9,4,9,45096702,45,d3680b7a32741f605d80e5e74e8f5774,1346,3335,235,546,3579,32
92531848,40,4,5,3,41835465,12,21f7e61502938b5e3c37c62b04cf42f6,21,4,0,9,62,0
68647285,40,3,0,50,36692190,14,0970f947b898ecc0ec035f9126dd4e08,223872,559791,2171,162815,1256774,1820
142477029,40,19,55,13,46940666,17,fd3fe6d56db45a9194af9609c7fa767c,124,480,88,51,158,0
127912761,41,12,0,20,51879275,162,e414f73ee38ca4286029370f753f12d2,4304,7657,337,9689,51859,331
121919899,39,6,1,18,48034036,23,521335a951a0e5b5a9a80c517a6742dd,42,29,4,75,338,3
155093875,38,10,5,22,35982249,12,5aae250033bb6d2fde21b5a836dc227d,5442,11049,4,4542,21537,1
116587867,37,14,39,12,49272693,15,671426b40d875bbb019028f7eb9db1a3,6317,51706,135,3457,13225,19
57764552,37,20,41,6,22195254,27,5c6d6e992002f94e3e580dfc4702c154,78278,50083,137,30816,106648,71
100294951,36,9,32,7,40910893,15,632f79472899d11658bb364a246f0a04,779,1673,44,271,1002,1
